"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily" "CAA"
"146" 3098 86 1710.661 10.5401369863014 25.8707945205479 1210.77031760734 231 16.1857995531452 0.104392400041923 0 0
"147" 3130 86 1225.454 43.5056164383562 12.5237808219178 587.227630573122 105 10.9919001209753 0.152768001197786 0 0
"148" 3131 86 3805.002 160.132246575342 38.6538082191781 1055.08697765899 144 30.9924367377534 0.224820536395364 0 0
"149" 3138 86 1860.936 69.4550410958904 27.2610410958904 764.945884802022 176 17.6367051365096 0.027266774004937 0 0
"150" 3140 86 8848.237 338.398794520548 72.8455616438356 1571.98557159253 211 70.5573887305315 0.260556646869074 0 0
"151" 3149 86 9324.038 287.908684931507 73.0306849315069 1587.22970535508 190 71.5977565585479 0.353179963530148 0 0
"152" 3178 86 2445.425 94.2065479452055 30.5119452054795 483.828084724246 85 20.290950840526 0.0144790229835616 0 0
"153" 3297 86 2795.964 74.4024383561644 32.3168767123288 697.715072988472 90 22.0454432207671 0.187412129960942 0 0
"154" 3497 86 7637.181 171.044164383562 57.6259726027397 954.75903517687 256 66.0386392340712 0 0.628480264512329 0
"155" 3644 86 1016.795 14.2771780821918 10.1122465753425 309.652356832508 106 9.29629072278904 0.0160522066849315 0 0
"156" 3775 86 2628.321 39.5867945205479 29.3706301369863 903.53143409027 179 20.1195925706466 0.0278732742603288 0 0
"157" 3776 86 990.15 30.6049863013699 17.8842191780822 730.591926816382 131 12.7360762766301 0.109215875695068 0 0
"158" 3788 86 2004.791 37.0626301369863 17.0575616438356 985.125633754632 211 17.0949542413479 0.127367832417633 0 0
"159" 3796 86 1309.382 23.3680273972603 16.301698630137 481.425790828228 140 10.8308012281315 0.0330486608219178 0 0
"160" 3936 86 1580.809 24.2860547945205 19.7095342465753 730.894909656696 137 12.1857288755836 0.030266176036389 0 0
"161" 3945 86 354.501 8.4925205479452 5.39369863013699 429.683562652369 79 3.55229135306301 0.00760793661369863 0 0
"162" 3946 86 740.826 21.7097808219178 12.8615616438356 455.734554513038 79 6.39025292460822 0.0175933534191781 0 0
"163" 3947 86 4580.917 400.23 83.7246575342466 985.913127124618 245 35.5222230095342 0.014046746500011 0 0
"164" 3948 86 7407.524 224.253534246575 92.5270410958904 1848.06898599206 254 58.7912048959397 0.266825364066148 0 0
"165" 4054 86 994.893 51.7882465753425 22.1102739726027 281.155718142847 60 8.19050999194521 0.000944247452054794 0 0
"166" 4072 86 1182.113 67.3335068493151 17.6662739726027 646.355927826471 164 10.7351476765479 0.10145264409863 0 0
"167" 4158 86 4097.987 65.6901643835616 64.3529315068493 1178.74284459467 279 37.4107130960548 0.0393987080754247 0 0
"168" 4162 86 2861.524 36.5753698630137 32.0398904109589 991.735425437927 230 23.9470511204877 0.0599596727377315 0.115981288249315 0
"169" 6002 86 4440.395 53.3988767123288 37.2496438356164 2011.18276957826 332 35.2754338210027 0.502990494027978 0 0
"170" 6004 86 6820.354 86.6840547945205 72.1469589041096 2255.24478536477 257 55.3245457063233 0.241551987484932 0 0
"171" 6016 86 1598.528 19.502904109589 16.5231232876712 875.728780272469 125 13.3002377930795 0.0343816549499836 0 0
"172" 6017 86 2963.483 22.3419178082192 19.6443835616438 1909.26732204014 242 25.5162625591068 0.113946120401573 0 0
"173" 6095 86 4447.882 46.672904109589 53.1847123287671 1237.49886602271 266 37.0803321536219 0.0779475226254411 0 0
"174" 6139 86 7212.789 85.2857260273973 131.880547945205 1173.24812038089 131 59.7132151599123 0.12511278739726 0 0
"175" 6146 86 15314.013 118.568547945205 125.66295890411 2381.47609970165 700 138.078146225605 0.343449776810959 0 0
"176" 6147 86 13270.109 203.070931506849 118.55498630137 1767.42094526031 528 119.107143321436 0.296911866673973 0 0
"177" 6155 86 5673.741 155.259917808219 53.6567397260274 1372.97350670123 263 44.7240204167671 0.0683770047780822 0 0
"178" 6178 86 4452.831 34.3860821917808 41.2478630136986 734.269552310664 121 34.7178012618082 0.0276563334082192 0 0
"179" 6193 86 6361.846 65.7787397260274 73.1762739726027 1066.49305319659 155 50.7315767542685 0 0.312867239819178 0
"180" 6248 86 3567.352 36.5873424657534 67.6605479452055 1124.37266548422 117 30.5289252550685 0.0607592378739452 0 0
"181" 6264 86 8989.569 115.821342465753 70.1486575342466 1755.91060405123 248 66.9724741097589 0.13467241604811 0 0
"182" 8042 86 14200.705 251.10701369863 153.265643835616 1506.18110880003 183 102.597462074647 0.0747865227595069 0 0
"183" 8102 86 13337.961 1037.87794520548 177.299753424658 2686.06281279764 363 106.835200638822 0.123552236377874 0 0
"184" 8226 86 2745.102 86.4198356164384 22.5749589041096 962.387972274436 157 21.7292882976 0.00229094665742466 0.132148715605479 0
"185" 3 87 8753.773 149.146438356164 73.1945753424658 1957.81348502891 459 68.1454221487726 0.0799067956207068 0.655780256917808 0
"186" 8 87 7008.39 176.382273972603 60.6258082191781 1858.61719027064 538 55.7265699789041 0.138965700129238 0 0
"187" 470 87 3144.349 27.7897534246575 40.0911780821918 927.174794798776 109 26.3726183984548 0.0463835391678247 0.00818829550684931 0
"188" 602 87 3644.755 56.8655890410959 30.884602739726 1245.65994027718 124 29.4360273996658 0.195377932986658 0 0
"189" 641 87 5317.23 353.470136986301 66.1101369863014 1456.2534783676 237 44.855421763726 0.0364985363342466 0.662980545205479 0
"190" 708 87 4958.818 193.893095890411 61.1364109589041 1015.27749446594 314 41.3703621139397 0.0426462515926521 0 0
"191" 709 87 9872.438 264.270931506849 116.658630136986 1656.82618084836 503 76.9245923821315 0.0553801130630137 0 0
"192" 728 87 7062.849 317.445479452055 61.7330410958904 1584.86439112401 468 57.404789968274 0.0656251979178082 0 0
"193" 856 87 3316.843 61.0566575342466 38.4173424657534 1026.67938332356 152 26.4401536098411 0.0261595258364712 0 0
"194" 861 87 2960.853 300.630520547945 69.1134246575343 1211.19466358882 290 25.782717627863 0.0539331617567342 0 0
"195" 862 87 364.3435 27.0938082191781 4.984 487.931921149614 101 3.08860900655342 0.0167224571325863 0 0
"196" 863 87 570.0134 37.9099178082192 5.74320547945205 377.14654101886 92 4.97170114513973 0.0206063728478137 0 0
"197" 864 87 1274.1175 79.3327945205479 11.7732602739726 737.286387573428 147 10.1166549967562 0.196587429664932 0 0
"198" 876 87 3017.451 292.479780821918 75.0822191780822 1490.64429160456 324 27.5830405355836 0 0.0290876391123288 0
"199" 879 87 5370.546 67.2135342465753 72.6235890410959 3132.42353972369 401 47.661701263874 0 0.0995635068493151 0
"200" 887 87 4240.759 196.254 39.7703561643836 2008.54932270109 332 36.3315090769151 0.0338931586476 0 0
"201" 889 87 9819.8264 678.683068493151 171.00802739726 1913.29818844681 267 79.4349347744548 0.0920641265753425 0 0
"202" 983 87 10027.206 731.043315068493 181.292191780822 1886.25984892391 393 78.351380472411 0.00550361372054795 0 0
"203" 988 87 2969.899 135.611589041096 46.2364383561644 1830.52648738276 332 23.0510081432055 0.169800630129123 0 0
"204" 991 87 596.977 37.7798904109589 6.11578082191781 619.855820501548 96 5.37030396598356 0.0464063899561644 0 0
"205" 994 87 9170.839 232.05997260274 79.5318356164384 3023.529790369 327 77.0349771574849 0.126094130284931 0 0
"206" 1004 87 176.74615 12.418301369863 3.06687671232877 362.343579478425 69 1.74826885813151 0.0166322444054795 0 0
"207" 1008 87 1990.63985 136.318602739726 28.0361095890411 803.754152201862 164 17.2567176403068 0.139988057079452 0 0
"208" 1012 87 1387.12142 105.684904109589 20.0186575342466 570.363161800832 71 11.6786965781918 0.00325765370958904 0.0142305156821918 0
"209" 1047 87 1059.758 15.3274246575342 21.1232328767123 520.109774008856 53 9.71628396014795 0.0226619388493151 0 0
"210" 1250 87 1300.658 15.4214520547945 14.2181917808219 647.27444267563 135 12.0851242877425 0 0.420501412709589 0
"211" 1355 87 3537.584 189.972328767123 34.8398356164384 714.255192607572 142 30.142385356011 0.041546887890411 0 0
"212" 1356 87 8293.951 247.700739726027 81.2391506849315 2173.80193051631 232 68.5850680982795 0.130306148383562 0 0
"213" 1357 87 1045.012 66.278602739726 14.9179452054795 401.369233518653 107 9.77361359090959 0.0108588456986301 0 0
"214" 1364 87 6879.721 55.5785753424658 75.6616438356164 1901.52123686885 567 56.9585134103836 0.154384458410959 0.100735786849315 0
"215" 1570 87 538.743 12.0936712328767 5.05717808219178 329.699243248455 65 4.61612967195616 0.0223483138027397 0 0
"216" 1606 87 1134.652 30.004 12.4678356164384 212.051898562852 68 8.85424946801096 0.00418810165959452 0 0
"217" 1695 87 2202.227 38.7224109589041 18.5162465753425 829.987868853405 185 17.5369749410795 0.0435938814739726 0 0
"218" 1745 87 3977.766 61.6824931506849 31.1371506849315 1978.29996858432 327 31.4110227573534 0.0720684120440219 0 0
"219" 1943 87 45.3995 1.92939726027397 0.668246575342466 242.1258741252 37 0.549037177413699 0.00330486608219178 0 0
"220" 2080 87 1950.43 140.769753424658 22.5041369863014 601.657164954014 155 16.9897464471781 0.0140029536521096 0 0
"221" 2103 87 12378.163 724.905616438356 112.360246575342 2956.15737293415 483 99.5664224542027 0.212985129747945 0 0
"222" 2107 87 3656.467 227.991589041096 78.4118356164384 1140.59085791543 262 31.3181436552986 0.0249483666082192 0 0
"223" 2526 87 794.220388 34.1601917808219 8.17742465753425 452.09886239425 83 6.81872752747397 0.0586782547544219 0 0
"224" 2527 87 732.3011 31.8145753424658 8.38871232876712 443.663242810683 90 6.59307486851507 0.0932022819863014 0 0
"225" 2535 87 2155.297 77.2749589041096 17.1134520547945 502.850437808429 82 16.307908413189 0.010673790059589 0 0
"226" 2549 87 3880.109 128.370246575342 45.0502739726027 2044.00103391857 303 31.6896449684055 0 0 0
"227" 2554 87 3304.89 140.11901369863 27.341095890411 1144.2563947098 210 27.467478457874 0 0 0
"228" 2642 87 1167.207 54.4213698630137 9.63942465753425 506.625713360782 132 9.92029343975342 0.0288535042849315 0 0
"229" 2706 87 2246.022 49.396602739726 25.8140821917808 400.507904008458 101 18.1008342341096 0.0469175515697096 0 0
"230" 2718 87 1795.127 33.5842465753425 14.5095068493151 1072.07868776282 155 14.2132226251562 0.134494384935649 0 0
"231" 2721 87 2447.075 49.7177534246575 19.6606301369863 857.023725771321 142 19.4202952728 0.0359217427781589 0 0
"232" 2727 87 8666.656 151.565068493151 64.9311232876712 1636.66253293491 200 63.5518500345699 0.193415493390115 0 0
"233" 2790 87 261.8392 9.61315068493151 2.02021917808219 210.09652777458 51 2.84675993441096 0 0.00300978875342466 0
"234" 2850 87 14598.628 473.24295890411 188.573205479452 2636.61502478023 555 115.482431400526 0.0805417817983397 0 0
"235" 2864 87 2467.9259 168.040849315068 34.9207397260274 1145.05655344388 279 22.3614523315726 0.0134284566407178 0 0
"236" 2872 87 8626.874 861.060794520548 136.647671232877 2025.33225527002 370 66.1476333320548 0.177110653299386 0 0
"237" 2876 87 7520.957 563.412767123288 129.903287671233 1624.50567350964 338 58.8014313527836 0.0160522066849315 0 0
"238" 3098 87 1477.663 9.08520547945206 21.3803561643836 1221.48698727181 230 13.6420446114411 0.0808903406283288 0 0
