"Plant_I.D." "Year" "ElectricityKWH" "Sulfur_Dioxide_Daily" "Nitrous_Oxide_Daily" "Dollars_Millions" "Employees" "Heat_Content_of_Coal_Daily" "Heat_Content_of_Oil_Daily" "Heat_Content_of_Gas_Daily"
"22" 1004 241560000 0.00768385 4.3347397260274 179113.402739726 0.0003914372 3112638800000 0.0235623462410959 0 3.24817911780822e-09
"23" 1008 2229338000 0.06091175 30.1081095890411 393619.750684932 0.0008876252 23152883600000 0.0748450998246575 0 2.57129581356164e-08
"24" 1012 2123220110 0.06081998 31.5608493150685 273806.01369863 0.0004796484 22282545800000 0.00466390795068493 0.0127878083506849 2.5705049260274e-08
"25" 1047 1123422080 0.00597485 21.7485479452055 258351.131506849 0.0002866864 12388843400000 0.039186269260274 0 2.68656867534247e-09
"26" 1250 1386226000 0.00423702 15.8404109589041 313483.430136986 0.0007553084 1.6526873e+13 0 0.366190162068493 3.74361194547945e-09
"27" 1355 3166277000 0.05410696 30.9098356164384 351850.997260274 0.0007277424 34157912800000 0.0448058905249315 0 2.28478817276712e-08
"28" 1356 6493437000 0.09154015 64.7006301369863 1075642.89589041 0.0012570096 69678117600000 0.220762356440548 0 3.86679448553425e-08
"29" 1357 1040650000 0.02107446 15.9271232876712 198136.567123288 0.0005678596 1.2275735e+13 0.0093345605260274 0 8.96929092493151e-09
"30" 1364 6191186000 0.04778936 68.9537534246575 913485.747945205 0.0026022304 63188459200000 0.147774726246575 0.136371894452055 7.40689460835616e-08
"31" 1570 407195000 0.00326897 4.012 160888.857534247 0.000358358 4.487009e+12 0.0280542662630137 0 1.38362763123288e-09
"32" 1606 1037372000 0.00978367 11.4767397260274 104021.032876712 0.0003804108 10565186400000 0.0120626802645041 0 4.12662633287671e-09
"33" 1695 1189344000 0.00827912 10.8117808219178 412467.167123288 0.0010805872 12447601800000 0.0398438701643836 0 3.49914338958904e-09
"34" 1745 3593934000 0.0218686 29.7809315068493 980680.849315068 0.0018028164 3.7054944e+13 0.231207641989052 0 9.25739880821918e-09
"35" 1943 361328300 0.00424818 5.18419178082192 120279.468493151 0.0002095016 4.432548e+12 0.00421876272328767 0 2.26417049753425e-09
"36" 2080 2030401360 0.08819715 23.1507945205479 285119.397260274 0.0008655724 2.1855468e+13 0.0467551207740822 0 3.92376568767123e-08
"37" 2103 12388384000 0.26223063 113.697917808219 1466799.49315068 0.0027786528 124275377200000 0.274894039479452 0 1.10775289121096e-07
"38" 2107 2319200000 0.05494109 53.5938082191781 551444.443835616 0.00151613 2.4887154e+13 0.0545168011068493 0 2.32068724043836e-08
"39" 2526 863161700 0.01491755 9.55624657534247 218516.997260274 0.0004355428 9759650400000 0.0266277781479452 0 6.30930731178082e-09
"40" 2527 1133814055 0.01994918 12.8321917808219 216327.024657534 0.0005347804 12545675400000 0.045441908630137 0 8.42165149068493e-09
